text_display,call_to_violence
"Всех чиновников под трибунал. Все они коррупционеры и тупые, без толковые гондоны.",0.0
Машины старше 20-30 лет сейчас надёжнее новых,0.0
Народные деньги не народные у народа дыры в карманах,0.0
"на свой счет в банке, они в доле😂",0.0
Assalomu alaykum Sanjar bu ruchkaiz bilan butun Kazakhstan ni buzib tashlamang 😂(xazl) ishlarizga omad Uzbekistan dan salom,0.0
"​@aliyausseinova4781 микрорайоны были выселками, считались окраинами. А казахи получали квартиры в центре города. Вы этого не знаете - понятно же.",0.0
Все по плану глобалистов - никакой собственности! Идет отбирание жилья,0.0
Куда смотрят прокуратура глава государства......?,0.0
​@aliyausseinova4781 ну так сами и переезжайте в Павлодар.,0.0
"⁠@kartadeэто ваши личные проблемы, не общие… Общая проблема была , когда цены на газ поднимались, но на митинге ваших лиц не было замечено…",0.0
красавчик Бокаев ты ахуенее,0.0
"Чипсы не берите...
Вы что, сами себя враг...
А им всеравно, под видом производства, деньги надо поделить..
А производства потом будет стоять, нерентабельный.. А никому уже дело не будет..
Таких производств много деньги выделили, поделили.. А производства не работает...",0.0
"Им нужны деньги, как и всем но в больших количествах! Все гос служащие воруют! Как с этим бороться? Есть рецепт у кого-нибудь????  😂
Все в курсе и даже на верху, но прикрывают всё это безобразие и хищение с бюджета!!! Уже тридцать лет, это происходит.. так для справки",0.0
"​@amaterasu5 Пиши правильно, где ты видишь межнац? когда в Казахстане есть только одна нация и это Казахи ☝️ остальные этносы состоящие из диаспор☝️",0.0
Это Казахстан.Сплошной цирк.Клоуыны не позортесь.,0.0
"​@aliyausseinova4781 Алия, как долго вы жили в советское время?",0.0
Позорники,0.0
​@amaterasu5ЭТО ВЫ ПРОВОКАТОРЫ И НАЦЫКИ😮😮😮😮,0.0
"Людей просто оставляют на улице или выкидывают за город!!  За сотку сегодня дают 11 миллионов( 2 сотки) 22 миллиона, что может купить на эти деньги семья из 5 человек? Квартира в сов.доме( 2 ком) 25 миллионов ,в новом ДК 2 ком 49 миллионов, где людям жить???",0.0
Причём тут Токаев ? Этих вров выращивал нан 30 лет..и этот один из них ...бывший акиматчик отодвинутый от кормушки 😂,0.0
Это не завод а сто по ремонту кузовов 😂😂😂😂 пародие на автозавод 😂😂😂,0.0
Provokator. Razjiganie mejnacionalnoy rozni. Scrin + IP budut peredani v sootvetstvuyushie organi.,0.0
Это советский Железобетон,0.0
​@землянин0705Өте  дұрыс айтасыз. Қаншама  қазақ  үйсіз  күйсіщ  жүр өз елінде. Кеңес  кезінде  тегін  алған  үйлері  ғой. Атам қазақ  ол  кезде  жәйлауда  қой  бағып  қалаға  оларды  кіргізбейтін  де .,0.0
​@imtitanium6691ойбаай  сколько  ненависти и злобы  в твоём комментарий Кошмар,0.0
Тонкаев конкретно поощряет коррупцию распустил своих воров,0.0
Рыба гниёт с головы,0.0
Да уж,0.0
Пусть бережет вас Всевышний,0.0
Халык сайламагандар ештене кормейди еситпейди жемкорлык жайлаган жерде солай,0.0
Спасибр вам🙏,0.0
👍👍✊️💪❤️🙏,0.0
Только пиздеть и пиздить деньги могут. В виде банкротства!,0.0
"Короче, как всегда казахские понты😂😂😂😂 😂😂😂",0.0
"Чел просто популист,типичный блогер.Есть нарушения иди к руководству,ох уж эти любители снимать...",0.0
👋👋👋👋👋,0.0
Правильно буряты разбирайтесь со своими проблемами. Нечего ехать туда где не рады,0.0
"На ,, разрешение,, надо платить чиновникам разных уровней....",0.0
Kozel... Nacik poganyi,0.0
PIDORAS,0.0
Сократить на 90 процентов....,0.0
"@ВалентинаЛейменовапросите побольше денежек у государства , за свои бесплатно полученные, в свое время , квартиры и земли, а при этом игнорируете государственный язык этой страны!  Вы наш казахский   язык приравниваете к вшам?!!! Не стыдно?!",0.0
Есть план благоустройства города и акимы его придерживаются ☝️,0.0
ЖАЛЬ.,0.0
"⁠@ВалентинаЛейменоваочень большая проблема, когда  вами игнорируется государственный язык! Который вы обязаны знать!  Валентина, учи казахский язык! А за тех « обездоленных» , которые бесплатно получили квартиры и земли в Алматы, не переживайте, получат они свои денежки… не смогут в Алматы купить, пусть в Павлодаре или Петропавловске покупают, все же ближе к своей исторической родине…",0.0
"это было сделано в СССР, и такое не смогут сделать сейчас, и говорят СССР нас гнабил грабил итд. хотя всё делали в СССР всё на совесть, а сейчас под демократией воруют но за то воровство этих людей никто не напоминает и совести нет ...",1.0
"Несогласных - посадить. Выступающих против - расстрелять. Вперёд, в Новый Казахстан!!!",0.0
