comment_id,text_original,lang_model,is_kazakh_model
UgwQ0sI9XYLlZ49FvOl4AaABAg,Мына қойлар сігәп бітті малдарды жинап алған құр тонап жүр елді,kk,True
UgwCm4vOhM7_w3oEhON4AaABAg,Алматы азаматтары жарайсыңдар алға,kk,True
UgzmFC00qiAYhuALblJ4AaABAg,Қайрат Құдайбергенов шықтыма?,kk,True
UgyFDkkHQwCG9iZiriN4AaABAg,"Санжар молодец ,поймите один в поле не воин ,қазақтар терпила болып жүріңдер ,бірақ менің бабам батыр болғаң деп үрмендер ,батырдың үрпағы осындай қоркақ ,бишара болама ,батырлар отан үшің ,ел үшің жаңың қиған ,қазіргі еркектерді еркек деп айтуға аузың бармайды ,қойңыңдағы қатындарынан қоркады ,сүмелек",kk,True
Ugwo7_t8DiAVTQ05zQx4AaABAg,Әдемі ризамын,kk,True
UgwM9vshfirWNpAC4hp4AaABAg,"Алла жар болсын сізге, денсаулық берсін",kk,True
UgzQaUa67-7KIIj2a4t4AaABAg,Ассалаумағалейкум. Енді не істеуіміз керек? Қолдан не келеді бұл сасық үкіметке?,kk,True
Ugwme9msDIj-dpOiqJV4AaABAg,"Керемет талдау,  Санжар!!!",kk,True
UgwNPJzR2KT7oGZfHcp4AaABAg,Жемқорстан !!! 🤭,kk,True
UgyDZzIGqnKqsXTjFfh4AaABAg,"Ел болмаймыз,өкінішке орай☹️Жемқорлар бұрынғыдан да артық көбейіп барады😖",kk,True
UgzADfeWSRngalH3j5J4AaABAg,"(өкiмет басшыларына: Ұрланған миллиардтарды елге кайтарып, Аталарымның арнайы маған деп қорғап, дайындап қойған жердiң, қазба-байлығынан үлесiмдi берiңiздер. Сiздердiң жалған автопромдары мен жалған завод, фабрикаларың қажетi жоқ. Жерде тiршiлiк басталғалы берi осы жерде тұрып, өсiп-өнiп келген Ата-бабаларымнан қалған үлесiмдi берiңiздер, нағыз автопромы дамыған елден, сапалы көлiк алгым келедi! Сiздердiң халыаққа түк кажеттерiңiз жоқ!",kk,True
Ugw5_N4A2SHCp2M36Cd4AaABAg,Осынын бари бекер го Путин кетпей бул система озгермейди,kk,True
UgwBrNlcWTWizRcvb514AaABAg.9tmfXL5MHY19tmucNBSxoo,"Дұрыс айтасыз! Қаңтарда: әкімдер, министрлер, ректорлар, депутаттар, президент аппараты: үйлерінде тығылып қалған!: 
елді де!
Жерді ле!
Тілді де!
Стратегиялық нысандарды да!
Халықты да!: ҚОРҒАҒАН ЖОҚ! 
Атом жарылса қайдан қорғайды!",kk,True
UgzcuVzYOmZYFKrLlrd4AaABAg,Ассалаумағалейкум. Айлық жүрсе болды деп отырған шығар? Артық айтсам Құдай кешірсін.,kk,True
UgykVeZSAtAFtw8pEXR4AaABAg,Корупция керек жок.,kk,True
UgwuDPKZskk8Xkm5dfR4AaABAg,ШЫҒУ КЕРЕК еврзс одкб жауз орыстың одағынан .,kk,True
UgxSSfahecMMBQN6KuZ4AaABAg,"Санжар - шығамыз , қолдаймыз 🇰🇿👍💪",kk,True
UgzXJ9-jevryK1rsgB54AaABAg,Жарайсың Санжар !!!,kk,True
UgwiC7_pmF7FdV4uKEB4AaABAg,Да у нас Назарбай и Тоңқайски провительства  уничтожает Народ,kk,True
Ugz0AEDABfk1IeHqDfR4AaABAg,"Айналайын аман жүр! Сені Алла қолдайды,халқың қолдайды!",kk,True
Ugz_3nOu_9kFcSyVb5x4AaABAg,"Букiл Казак елiне , коздерiн бокырайтып алып Калай отiрiк айтады?
Беттерi кызармайды!
🤦🤦🤦",kk,True
UgzdXo3B6qA6HUB8Gm94AaABAg,Министр мен бірге.,kk,True
UgzbMMOmNRktGAmcEwJ4AaABAg,Осындай ақылды АЗАМАТТАРЫМЫЗ  КӨП ЕДІ ҒОЙ  қазір  көбіі үндемей қалған неге?жоспарлап  тиянақты жеңіске жетесіңдер бірлікті  сақтап барын бағалау керек...,kk,True
UgyOgpJvLjLbT9bxs_F4AaABAg,Қарғыстың ең жаманы...,kk,True
UgzAyXp7JzCUolxHo754AaABAg,"Санжар ! Айналайвн жанын ашып Казагына , барлыгы озын дей болса , Булар не бытырып жур , мвнау арамдык кой, Оздерын силамаган Министрлер арам тамактар , Орыстарга жем болган сороылар !!Депутатар кайда карап отыр ,? Мынау Казакты козбе коз коздерын бакырайтып ТОНАУ Гой,Прокуратура,Ышкы ыстер Министрлер кайда караула.        НАМЫС кайда КАЗАГЫМ тал тусте Казактын каражатын ОРЫСТАР жымкырып жатыр гой ???",kk,True
UgxexXM-8k810gKT-ld4AaABAg,❗ ӨЗ ТУҒАН ХАЛҚЫНА БИЗНЕС ЖАСАМАСЫН ❗ Масқара бұл!    ҚҰЙТЫРҚЫ МИНИСТР ОРНЫН БОСАТСЫН ❗,kk,True
Ugyz71e1NDK5q3PNEPx4AaABAg,"Аман бол, балам! Тойымсыздық деген кейінгілерге сабақ болсын. Осыларды ұстап, жауап алатындар тексергеннің орнына белсенділерді ұстаумен, солардың аузын жабумен әлек.",kk,True
Ugz35ksMdo9yMR7hi0p4AaABAg,"Петитция деген далбаса 50000 емес 50млн кол жинасанда буларга барибир...
Автопром халыкты канау аркылы жузеге асса ,бул болашагы жок
Санжар ауре болдынау.....саган рахмет халыктын козин аштын",kk,True
Ugx5EQrTW3qAbUOfBUl4AaABAg,Бектенов мырза көріп отырсыз ба?!!!!!!! Жауап күтемін!!!!!! Нұрлан Оралбаев 86,kk,True
UgxgCEwjLFkpnt4mMHt4AaABAg,Жогарыда отыргандардын бари отирикши урлык жасагандары бари отыз жыл боигы жасаган жумыстарына жауап беру керек ал тендрди жок кылу керек бул урыларга акша урлау  ал  сол тендирди жаи бизнеспен аиналысытындар ута алмаиды ол тек жогарыдагылардын махинациясы акаштарга обол болган санжар сизге улкен рахмет бунын артында тагыда калталы адам тур,kk,True
Ugwb0xbQdTbVUp-Bpal4AaABAg,Санжар сен ісің дұрыс тоқтама алдыға,kk,True
UgwsksjHM4ftKV8LhXd4AaABAg,Тысячи лайков за Пластиковыю Ручку Оян қазақ Ойлан қазақ Алға қазақ,kk,True
Ugy-9TVKw1Urq_3ADWZ4AaABAg,Тарих куә бір билік құлау алдында әр түрлі әйтеуір болмайтын бірдеңе ойлап шығады оған халық қарсы шығады сөйтіп ол билік құлайды міне осылай аяқтайды бұл билік өздері елге күлкілі болып😂,kk,True
UgxegngUUR9-pwP-US54AaABAg,"Байбектің былықтарын Мамай  әшкерелеген кезде сен неге осыларды айтпадың? Соттасып қанша әлекшілікке түсті. Бір ауыз үндемедің сол кезде. Енді келіп,бір жаңалық ашқандай болып тұрсың.",kk,True
Ugz1S6wMVJAUEyzrexd4AaABAg,Масқара.,kk,True
Ugz6Xvof-guTwzXU9fd4AaABAg,Қайтесің кілең тупойды отырғызып қойып,kk,True
Ugxmv6QIXFZzUqbROm94AaABAg,Осы болып жатқан жағдайларға тікелей аманат жауапты.,kk,True
UgxEgd4_uMoVU8HrsiJ4AaABAg,Отан деп телевизордан қақсайды а так істеп отқандары қылмыс,kk,True
UgwY_1SfI5OVSxgRowx4AaABAg,Әп бәрекелді!  😂,kk,True
Ugwxe6-7wCtF3_jPEhB4AaABAg,Орусча суйлоп калысыңарго баурларым,kk,True
UgyPohCC9x_MBsaNy2p4AaABAg,Отырык статистикамен омыр сурып жатырык орташа жалакы 468 мын деген секылды анегдот айтып отыр министирлер,kk,True
UgwwT_uLCReXIhNua2p4AaABAg,Сотқа беру керек. Технадзор құда смотрит. 😐,kk,True
UgzrLCNm08skwVKHMC94AaABAg,Халык неге ундеми отырабереди халыктын колындагой енди тагы 30 жылдан сон байлар шетел асып кашады кара халык нестиди урпакка неге жан ашымайды болашакты неге ойламайды,kk,True
