comment_id,video_id,parent_id,text_display,text_original,author_display_name,published_at,like_count
Ugz5DR_y7DyNaxBniTd4AaABAg,VM8DBwcyUXI,,"Всех чиновников под трибунал. Все они коррупционеры и тупые, без толковые гондоны.","Всех чиновников под трибунал. Все они коррупционеры и тупые, без толковые гондоны.",@SNN.2025,2025-11-06T15:32:08Z,0
UgxfRWkTbPIX2TY7KNZ4AaABAg,cRFrpHoDGsc,,Машины старше 20-30 лет сейчас надёжнее новых,Машины старше 20-30 лет сейчас надёжнее новых,@КазаковНиколай-е5ы,2025-11-06T15:25:25Z,0
UgxfvrfUBjUCyF6I0YV4AaABAg,sN7zPeGs4R8,,Народные деньги не народные у народа дыры в карманах,Народные деньги не народные у народа дыры в карманах,@АлександрТайкин-л6у,2025-11-06T15:16:35Z,0
UgxEgS2rS9yfsJyk6G94AaABAg.APBY0tzXK_tAPBYvcaV3ae,Q3UT10nBJTI,UgxEgS2rS9yfsJyk6G94AaABAg,"на свой счет в банке, они в доле😂","на свой счет в банке, они в доле😂",@egorsmorgunov8024,2025-11-06T15:08:47Z,0
UgwraVv6gM2dBKZ83ed4AaABAg,oaaT9NPBoHQ,,Assalomu alaykum Sanjar bu ruchkaiz bilan butun Kazakhstan ni buzib tashlamang 😂(xazl) ishlarizga omad Uzbekistan dan salom,Assalomu alaykum Sanjar bu ruchkaiz bilan butun Kazakhstan ni buzib tashlamang 😂(xazl) ishlarizga omad Uzbekistan dan salom,@abduhalilubadullaev3203,2025-11-06T15:06:49Z,0
UgzWFdetS_9lqFBOIm94AaABAg.AP8FsKAjNeqAPBYgoxHvtN,t_HtRmlKCVI,UgzWFdetS_9lqFBOIm94AaABAg,"​@aliyausseinova4781 микрорайоны были выселками, считались окраинами. А казахи получали квартиры в центре города. Вы этого не знаете - понятно же.","​@aliyausseinova4781 микрорайоны были выселками, считались окраинами. А казахи получали квартиры в центре города. Вы этого не знаете - понятно же.",@tanyap4391,2025-11-06T15:06:46Z,0
UgzQwPE8oZiEvp37a5h4AaABAg,t_HtRmlKCVI,,Все по плану глобалистов - никакой собственности! Идет отбирание жилья,Все по плану глобалистов - никакой собственности! Идет отбирание жилья,@lig5747,2025-11-06T15:04:06Z,0
UgxEgS2rS9yfsJyk6G94AaABAg,Q3UT10nBJTI,,Куда смотрят прокуратура глава государства......?,Куда смотрят прокуратура глава государства......?,@МейрамЖакупбеков-щ2ъ,2025-11-06T15:00:54Z,1
UgyzCx3KbYlyn4XY7hl4AaABAg.AP8IRnuxxLeAPBXymhd7iJ,t_HtRmlKCVI,UgyzCx3KbYlyn4XY7hl4AaABAg,​@aliyausseinova4781 ну так сами и переезжайте в Павлодар.,​@aliyausseinova4781 ну так сами и переезжайте в Павлодар.,@tanyap4391,2025-11-06T15:00:29Z,0
UgznUzn470lMdfoxX654AaABAg.AP98QrHTrw6APBWsq-5H8-,t_HtRmlKCVI,UgznUzn470lMdfoxX654AaABAg,"⁠@kartadeэто ваши личные проблемы, не общие… Общая проблема была , когда цены на газ поднимались, но на митинге ваших лиц не было замечено…","⁠@kartadeэто ваши личные проблемы, не общие… Общая проблема была , когда цены на газ поднимались, но на митинге ваших лиц не было замечено…",@aliyausseinova4781,2025-11-06T14:50:55Z,0
UgzEDJlYUgMPRKR5KQR4AaABAg,cRFrpHoDGsc,,красавчик Бокаев ты ахуенее,красавчик Бокаев ты ахуенее,@Detroitdota,2025-11-06T14:26:33Z,1
UgxT_ulN0Yh3dE_bgqt4AaABAg,DJc4MpMkdnI,,"Чипсы не берите...
Вы что, сами себя враг...
А им всеравно, под видом производства, деньги надо поделить..
А производства потом будет стоять, нерентабельный.. А никому уже дело не будет..
Таких производств много деньги выделили, поделили.. А производства не работает...","Чипсы не берите...
Вы что, сами себя враг...
А им всеравно, под видом производства, деньги надо поделить..
А производства потом будет стоять, нерентабельный.. А никому уже дело не будет..
Таких производств много деньги выделили, поделили.. А производства не работает...",@КулашКалиаскарова,2025-11-06T14:19:37Z,0
UgzeH9bn6hR6alXcmAt4AaABAg,sN7zPeGs4R8,,"Им нужны деньги, как и всем но в больших количествах! Все гос служащие воруют! Как с этим бороться? Есть рецепт у кого-нибудь????  😂
Все в курсе и даже на верху, но прикрывают всё это безобразие и хищение с бюджета!!! Уже тридцать лет, это происходит.. так для справки","Им нужны деньги, как и всем но в больших количествах! Все гос служащие воруют! Как с этим бороться? Есть рецепт у кого-нибудь????  😂
Все в курсе и даже на верху, но прикрывают всё это безобразие и хищение с бюджета!!! Уже тридцать лет, это происходит.. так для справки",@РусланДолгиев-й2ю,2025-11-06T14:17:14Z,0
